"chrom" "start_window" "end_window" "gene_counts"
"480" "Tfas_chr18" "8000001" "9e+06" "10"
"481" "Tfas_chr18" "9000001" "1e+07" "4"
"482" "Tfas_chr18" "10000001" "1.1e+07" "10"
"483" "Tfas_chr18" "11000001" "1.2e+07" "16"
"484" "Tfas_chr18" "12000001" "1.3e+07" "11"
"485" "Tfas_chr18" "13000001" "1.4e+07" "18"
"486" "Tfas_chr18" "14000001" "1.5e+07" "31"
"487" "Tfas_chr18" "15000001" "1.6e+07" "43"
"488" "Tfas_chr18" "16000001" "1.7e+07" "42"
"489" "Tfas_chr18" "17000001" "1.8e+07" "28"
"490" "Tfas_chr18" "18000001" "1.9e+07" "3"
"491" "Tfas_chr18" "19000001" "2e+07" "18"
"492" "Tfas_chr18" "20000001" "2.1e+07" "21"
"493" "Tfas_chr18" "21000001" "2.2e+07" "13"
"494" "Tfas_chr19" "1" "1e+06" "111"
"495" "Tfas_chr19" "1000001" "2e+06" "116"
"496" "Tfas_chr19" "2000001" "3e+06" "115"
"497" "Tfas_chr19" "3000001" "4e+06" "74"
"498" "Tfas_chr19" "4000001" "5e+06" "43"
"499" "Tfas_chr19" "5000001" "6e+06" "33"
"500" "Tfas_chr19" "6000001" "7e+06" "27"
"501" "Tfas_chr19" "7000001" "8e+06" "21"
"502" "Tfas_chr19" "8000001" "9e+06" "14"
"503" "Tfas_chr19" "9000001" "1e+07" "18"
"504" "Tfas_chr19" "10000001" "1.1e+07" "14"
"505" "Tfas_chr19" "11000001" "1.2e+07" "8"
"506" "Tfas_chr19" "12000001" "1.3e+07" "26"
"507" "Tfas_chr19" "13000001" "1.4e+07" "26"
"508" "Tfas_chr19" "14000001" "1.5e+07" "21"
"509" "Tfas_chr19" "15000001" "1.6e+07" "20"
"510" "Tfas_chr19" "16000001" "1.7e+07" "14"
"511" "Tfas_chr19" "17000001" "1.8e+07" "31"
"512" "Tfas_chr19" "18000001" "1.9e+07" "13"
"513" "Tfas_chr19" "19000001" "2e+07" "7"
"514" "Tfas_chr20" "1" "1e+06" "104"
"515" "Tfas_chr20" "1000001" "2e+06" "108"
"516" "Tfas_chr20" "2000001" "3e+06" "68"
"517" "Tfas_chr20" "3000001" "4e+06" "37"
"518" "Tfas_chr20" "4000001" "5e+06" "35"
"519" "Tfas_chr20" "5000001" "6e+06" "10"
"520" "Tfas_chr20" "6000001" "7e+06" "12"
"521" "Tfas_chr20" "7000001" "8e+06" "8"
"522" "Tfas_chr20" "8000001" "9e+06" "7"
"523" "Tfas_chr20" "9000001" "1e+07" "7"
"524" "Tfas_chr20" "10000001" "1.1e+07" "5"
"525" "Tfas_chr20" "11000001" "1.2e+07" "20"
"526" "Tfas_chr20" "12000001" "1.3e+07" "16"
"527" "Tfas_chr20" "13000001" "1.4e+07" "13"
"528" "Tfas_chr20" "14000001" "1.5e+07" "26"
"529" "Tfas_chr20" "15000001" "1.6e+07" "32"
"530" "Tfas_chr20" "16000001" "1.7e+07" "37"
"531" "Tfas_chr20" "17000001" "1.8e+07" "61"
"532" "Tfas_chr20" "18000001" "1.9e+07" "82"
"533" "Tfas_chr20" "19000001" "2e+07" "25"
"534" "Tfas_chr21" "1" "1e+06" "54"
"535" "Tfas_chr21" "1000001" "2e+06" "61"
"536" "Tfas_chr21" "2000001" "3e+06" "54"
"537" "Tfas_chr21" "3000001" "4e+06" "34"
"538" "Tfas_chr21" "4000001" "5e+06" "33"
"539" "Tfas_chr21" "5000001" "6e+06" "28"
"540" "Tfas_chr21" "6000001" "7e+06" "21"
"541" "Tfas_chr21" "7000001" "8e+06" "16"
"542" "Tfas_chr21" "8000001" "9e+06" "20"
"543" "Tfas_chr21" "9000001" "1e+07" "11"
"544" "Tfas_chr21" "10000001" "1.1e+07" "8"
"545" "Tfas_chr21" "11000001" "1.2e+07" "24"
"546" "Tfas_chr21" "12000001" "1.3e+07" "33"
"547" "Tfas_chr21" "13000001" "1.4e+07" "56"
"548" "Tfas_chr21" "14000001" "1.5e+07" "76"
"549" "Tfas_chr21" "15000001" "1.6e+07" "98"
"550" "Tfas_chr21" "16000001" "1.7e+07" "125"
"551" "Tfas_chr21" "17000001" "1.8e+07" "104"
"552" "Tfas_chr21" "18000001" "1.9e+07" "0"
"553" "Tfas_chr22" "1" "1e+06" "59"
"554" "Tfas_chr22" "1000001" "2e+06" "36"
"555" "Tfas_chr22" "2000001" "3e+06" "40"
"556" "Tfas_chr22" "3000001" "4e+06" "10"
"557" "Tfas_chr22" "4000001" "5e+06" "13"
"558" "Tfas_chr22" "5000001" "6e+06" "5"
"559" "Tfas_chr22" "6000001" "7e+06" "20"
"560" "Tfas_chr22" "7000001" "8e+06" "24"
"561" "Tfas_chr22" "8000001" "9e+06" "30"
"562" "Tfas_chr22" "9000001" "1e+07" "41"
"563" "Tfas_chr22" "10000001" "1.1e+07" "35"
"564" "Tfas_chr22" "11000001" "1.2e+07" "22"
"565" "Tfas_chr22" "12000001" "1.3e+07" "56"
"566" "Tfas_chr22" "13000001" "1.4e+07" "89"
"567" "Tfas_chr22" "14000001" "1.5e+07" "100"
"568" "Tfas_chr22" "15000001" "1.6e+07" "120"
"569" "Tfas_chr22" "16000001" "1.7e+07" "118"
"570" "Tfas_chr22" "17000001" "1.8e+07" "5"
"571" "Tfas_chr23" "1" "1e+06" "72"
"572" "Tfas_chr23" "1000001" "2e+06" "58"
"573" "Tfas_chr23" "2000001" "3e+06" "56"
"574" "Tfas_chr23" "3000001" "4e+06" "53"
"575" "Tfas_chr23" "4000001" "5e+06" "36"
"576" "Tfas_chr23" "5000001" "6e+06" "26"
"577" "Tfas_chr23" "6000001" "7e+06" "17"
"578" "Tfas_chr23" "7000001" "8e+06" "14"
"579" "Tfas_chr23" "8000001" "9e+06" "12"
"580" "Tfas_chr23" "9000001" "1e+07" "13"
"581" "Tfas_chr23" "10000001" "1.1e+07" "19"
"582" "Tfas_chr23" "11000001" "1.2e+07" "14"
"583" "Tfas_chr23" "12000001" "1.3e+07" "32"
"584" "Tfas_chr23" "13000001" "1.4e+07" "40"
"585" "Tfas_chr23" "14000001" "1.5e+07" "107"
"586" "Tfas_chr23" "15000001" "1.6e+07" "120"
"587" "Tfas_chr23" "16000001" "1.7e+07" "73"
"588" "Tfas_chr24" "1" "1e+06" "14"
"589" "Tfas_chr24" "1000001" "2e+06" "25"
"590" "Tfas_chr24" "2000001" "3e+06" "30"
"591" "Tfas_chr24" "3000001" "4e+06" "22"
"592" "Tfas_chr24" "4000001" "5e+06" "11"
"593" "Tfas_chr24" "5000001" "6e+06" "28"
"594" "Tfas_chr24" "6000001" "7e+06" "31"
"595" "Tfas_chr24" "7000001" "8e+06" "21"
"596" "Tfas_chr24" "8000001" "9e+06" "56"
"597" "Tfas_chr24" "9000001" "1e+07" "82"
"598" "Tfas_chr24" "10000001" "1.1e+07" "94"
"599" "Tfas_chr24" "11000001" "1.2e+07" "106"
"600" "Tfas_chr24" "12000001" "1.3e+07" "97"
"601" "Tfas_chr24" "13000001" "1.4e+07" "45"
"602" "Tfas_chr25" "1" "1e+06" "114"
"603" "Tfas_chr25" "1000001" "2e+06" "109"
"604" "Tfas_chr25" "2000001" "3e+06" "64"
"605" "Tfas_chr25" "3000001" "4e+06" "49"
"606" "Tfas_chr25" "4000001" "5e+06" "16"
"607" "Tfas_chr25" "5000001" "6e+06" "27"
"608" "Tfas_chr25" "6000001" "7e+06" "27"
"609" "Tfas_chr25" "7000001" "8e+06" "46"
"610" "Tfas_chr25" "8000001" "9e+06" "22"
"611" "Tfas_chr25" "9000001" "1e+07" "48"
"612" "Tfas_chr25" "10000001" "1.1e+07" "57"
"613" "Tfas_chr25" "11000001" "1.2e+07" "87"
"614" "Tfas_chr25" "12000001" "1.3e+07" "32"
