Scaffold_1;HRSCAF=1 53962
Scaffold_2803;HRSCAF=3494 8741
Scaffold_2804;HRSCAF=3495 7287
Scaffold_2805;HRSCAF=3496 5336
Scaffold_2806;HRSCAF=3497 10671
Scaffold_2807;HRSCAF=3498 10988
Scaffold_2808;HRSCAF=3499 11283
Scaffold_2809;HRSCAF=3500 2418
Scaffold_2810;HRSCAF=3501 8883
Scaffold_2811;HRSCAF=3502 10384
Scaffold_2812;HRSCAF=3503 2843
Scaffold_2813;HRSCAF=3504 11499
Scaffold_2814;HRSCAF=3505 8016
Scaffold_2815;HRSCAF=3506 2933
Scaffold_2816;HRSCAF=3507 10984
Scaffold_2817;HRSCAF=3508 1479
Scaffold_2818;HRSCAF=3509 1847
Scaffold_2819;HRSCAF=3510 9977
Scaffold_2820;HRSCAF=3511 5652
Scaffold_2821;HRSCAF=3512 13419
Scaffold_2822;HRSCAF=3513 4580
Scaffold_2823;HRSCAF=3514 12451
Scaffold_2824;HRSCAF=3515 14183
Scaffold_2825;HRSCAF=3516 11130
Scaffold_2826;HRSCAF=3517 13279
Scaffold_2827;HRSCAF=3518 10902
Scaffold_2828;HRSCAF=3519 10425
Scaffold_2829;HRSCAF=3520 10521
Scaffold_2830;HRSCAF=3521 6021
Scaffold_2831;HRSCAF=3522 9437
Scaffold_2832;HRSCAF=3523 11783
Scaffold_2833;HRSCAF=3524 13631
Scaffold_2834;HRSCAF=3525 12307
Scaffold_2835;HRSCAF=3526 7315
Scaffold_2836;HRSCAF=3527 6517
Scaffold_2837;HRSCAF=3528 1888
Scaffold_2838;HRSCAF=3529 1613
Scaffold_2839;HRSCAF=3530 11512
Scaffold_2840;HRSCAF=3531 11009
Scaffold_2841;HRSCAF=3532 9294
Scaffold_2842;HRSCAF=3533 4100
Scaffold_2843;HRSCAF=3534 5956
Scaffold_2844;HRSCAF=3535 1306
Scaffold_2845;HRSCAF=3536 2921
Scaffold_2846;HRSCAF=3537 9863
Scaffold_2847;HRSCAF=3538 11205
Scaffold_2848;HRSCAF=3539 5813
Scaffold_2849;HRSCAF=3540 11476
Scaffold_2850;HRSCAF=3541 6349
Scaffold_2851;HRSCAF=3542 4344
Scaffold_2852;HRSCAF=3543 10461
Scaffold_2853;HRSCAF=3544 5013
Scaffold_2854;HRSCAF=3545 6564
Scaffold_2855;HRSCAF=3546 5253
Scaffold_2856;HRSCAF=3547 1122
Scaffold_2857;HRSCAF=3548 5638
Scaffold_2858;HRSCAF=3549 3208
Scaffold_2859;HRSCAF=3550 7231
Scaffold_2860;HRSCAF=3551 2206
Scaffold_2861;HRSCAF=3552 5758
Scaffold_2862;HRSCAF=3553 7956
Scaffold_2863;HRSCAF=3554 10513
Scaffold_2864;HRSCAF=3555 5654
Scaffold_2865;HRSCAF=3556 2431
Scaffold_2866;HRSCAF=3557 9684
Scaffold_2867;HRSCAF=3558 10578
Scaffold_2868;HRSCAF=3559 15655
Scaffold_2869;HRSCAF=3560 10657
Scaffold_2870;HRSCAF=3561 12825
Scaffold_2871;HRSCAF=3562 10247
Scaffold_2872;HRSCAF=3563 10933
Scaffold_2873;HRSCAF=3564 10599
Scaffold_2874;HRSCAF=3565 1703
Scaffold_2875;HRSCAF=3566 14838
Scaffold_2876;HRSCAF=3567 11625
Scaffold_2877;HRSCAF=3568 15165
Scaffold_2878;HRSCAF=3569 10089
Scaffold_2879;HRSCAF=3570 10863
Scaffold_2880;HRSCAF=3571 4999
Scaffold_2881;HRSCAF=3572 6034
Scaffold_2882;HRSCAF=3573 7604
Scaffold_2883;HRSCAF=3574 3856
Scaffold_2884;HRSCAF=3575 6585
Scaffold_2885;HRSCAF=3576 3374
Scaffold_2886;HRSCAF=3577 7964
Scaffold_2887;HRSCAF=3578 10805
Scaffold_2888;HRSCAF=3579 2182
Scaffold_2889;HRSCAF=3580 9894
Scaffold_2890;HRSCAF=3581 5665
Scaffold_2891;HRSCAF=3582 11350
Scaffold_2892;HRSCAF=3583 6240
Scaffold_2893;HRSCAF=3584 1796
Scaffold_2894;HRSCAF=3585 12793
Scaffold_2895;HRSCAF=3586 10143
Scaffold_2896;HRSCAF=3587 10953
Scaffold_2897;HRSCAF=3588 9802
Scaffold_2898;HRSCAF=3589 11617
Scaffold_2899;HRSCAF=3590 15005
Scaffold_2900;HRSCAF=3591 12274
Scaffold_2901;HRSCAF=3592 10200
Scaffold_2902;HRSCAF=3593 10777
Scaffold_2903;HRSCAF=3594 12746
Scaffold_2904;HRSCAF=3595 8540
Scaffold_2905;HRSCAF=3596 9677
Scaffold_2906;HRSCAF=3597 2667
Scaffold_2907;HRSCAF=3598 11689
Scaffold_2908;HRSCAF=3599 16083
Scaffold_2909;HRSCAF=3600 9257
Scaffold_2910;HRSCAF=3601 2107
Scaffold_2911;HRSCAF=3602 2629
Scaffold_2912;HRSCAF=3603 11313
Scaffold_2913;HRSCAF=3604 3925
Scaffold_2914;HRSCAF=3605 13103
Scaffold_2915;HRSCAF=3606 11185
Scaffold_2916;HRSCAF=3607 2388
Scaffold_2917;HRSCAF=3608 3103
Scaffold_2918;HRSCAF=3609 2923
Scaffold_2919;HRSCAF=3610 2262
Scaffold_2920;HRSCAF=3611 11669
Scaffold_2921;HRSCAF=3612 9225
Scaffold_2922;HRSCAF=3613 6630
Scaffold_2923;HRSCAF=3614 13743
Scaffold_2924;HRSCAF=3615 3743
Scaffold_2925;HRSCAF=3616 2228
Scaffold_2926;HRSCAF=3617 16477
Scaffold_2927;HRSCAF=3618 11416
Scaffold_2928;HRSCAF=3619 7599
Scaffold_2929;HRSCAF=3620 4345
Scaffold_2930;HRSCAF=3621 2381
Scaffold_2931;HRSCAF=3622 7330
Scaffold_2932;HRSCAF=3623 8365
Scaffold_2933;HRSCAF=3624 6326
Scaffold_2934;HRSCAF=3625 5327
Scaffold_2935;HRSCAF=3626 11616
Scaffold_2936;HRSCAF=3627 6945
Scaffold_2937;HRSCAF=3628 11177
Scaffold_2938;HRSCAF=3629 4348
Scaffold_2939;HRSCAF=3630 3174
Scaffold_2940;HRSCAF=3631 11499
Scaffold_2941;HRSCAF=3632 4934
Scaffold_2942;HRSCAF=3633 6405
Scaffold_2943;HRSCAF=3634 9003
Scaffold_2944;HRSCAF=3635 12380
Scaffold_2945;HRSCAF=3636 7234
Scaffold_2946;HRSCAF=3637 8039
Scaffold_2947;HRSCAF=3638 4237
Scaffold_2948;HRSCAF=3639 12145
Scaffold_2949;HRSCAF=3640 4189
Scaffold_2950;HRSCAF=3641 2381
Scaffold_2951;HRSCAF=3642 8612
Scaffold_2952;HRSCAF=3643 8053
Scaffold_2953;HRSCAF=3644 3268
Scaffold_2954;HRSCAF=3645 7099
Scaffold_2955;HRSCAF=3646 10766
Scaffold_2956;HRSCAF=3647 10375
Scaffold_2957;HRSCAF=3648 2236
Scaffold_2958;HRSCAF=3649 10744
Scaffold_2959;HRSCAF=3650 18061
Scaffold_2960;HRSCAF=3651 6684
Scaffold_2961;HRSCAF=3652 11254
Scaffold_2962;HRSCAF=3653 1925
Scaffold_2963;HRSCAF=3654 13465
Scaffold_2964;HRSCAF=3655 10380
Scaffold_2965;HRSCAF=3656 10332
Scaffold_2966;HRSCAF=3657 2449
Scaffold_2967;HRSCAF=3658 1294
Scaffold_2968;HRSCAF=3659 10221
Scaffold_2969;HRSCAF=3660 6720
Scaffold_2970;HRSCAF=3661 11573
Scaffold_2971;HRSCAF=3662 10115
Scaffold_2972;HRSCAF=3663 11865
Scaffold_2973;HRSCAF=3664 4155
Scaffold_2974;HRSCAF=3665 1702
Scaffold_2975;HRSCAF=3666 1318
Scaffold_2976;HRSCAF=3667 2515
Scaffold_2977;HRSCAF=3668 4740
Scaffold_2978;HRSCAF=3669 12429
Scaffold_2979;HRSCAF=3670 6370
Scaffold_2980;HRSCAF=3671 5301
Scaffold_2981;HRSCAF=3672 10926
Scaffold_2982;HRSCAF=3673 10733
Scaffold_2983;HRSCAF=3674 5044
Scaffold_2984;HRSCAF=3675 1792
Scaffold_2985;HRSCAF=3676 1730
Scaffold_2986;HRSCAF=3677 10616
Scaffold_2987;HRSCAF=3678 10697
Scaffold_2988;HRSCAF=3679 1413
Scaffold_2989;HRSCAF=3680 9693
Scaffold_2990;HRSCAF=3681 7242
Scaffold_2991;HRSCAF=3682 9285
Scaffold_2992;HRSCAF=3683 10396
Scaffold_2993;HRSCAF=3684 13910
Scaffold_2994;HRSCAF=3685 4939
Scaffold_2995;HRSCAF=3686 11211
Scaffold_2996;HRSCAF=3687 2092
Scaffold_2997;HRSCAF=3688 8260
Scaffold_2998;HRSCAF=3689 7534
Scaffold_2999;HRSCAF=3690 11436
Scaffold_3000;HRSCAF=3691 5935
Scaffold_3001;HRSCAF=3692 7855
Scaffold_3002;HRSCAF=3693 15612
Scaffold_3003;HRSCAF=3694 12421
Scaffold_3004;HRSCAF=3695 4699
Scaffold_3005;HRSCAF=3696 7839
Scaffold_3006;HRSCAF=3697 8317
Scaffold_3007;HRSCAF=3698 9488
Scaffold_3008;HRSCAF=3699 2279
Scaffold_3009;HRSCAF=3700 10418
Scaffold_3010;HRSCAF=3701 6342
Scaffold_3011;HRSCAF=3702 4116
Scaffold_3012;HRSCAF=3703 12311
Scaffold_3013;HRSCAF=3704 1857
Scaffold_3014;HRSCAF=3705 9301
Scaffold_3015;HRSCAF=3706 1809
Scaffold_3016;HRSCAF=3707 11507
Scaffold_3017;HRSCAF=3708 13645
Scaffold_3018;HRSCAF=3709 4783
Scaffold_3019;HRSCAF=3710 10244
Scaffold_3020;HRSCAF=3711 9783
Scaffold_3021;HRSCAF=3712 5529
Scaffold_3022;HRSCAF=3713 1082
Scaffold_3023;HRSCAF=3714 5782
Scaffold_3024;HRSCAF=3715 1108
Scaffold_3025;HRSCAF=3716 9621
Scaffold_3026;HRSCAF=3717 1879
Scaffold_3027;HRSCAF=3718 9175
Scaffold_3028;HRSCAF=3719 1021
Scaffold_3029;HRSCAF=3720 12469
Scaffold_3030;HRSCAF=3721 6731
Scaffold_3031;HRSCAF=3722 6911
Scaffold_3032;HRSCAF=3723 7532
Scaffold_3033;HRSCAF=3724 6922
Scaffold_3034;HRSCAF=3725 1997
Scaffold_3035;HRSCAF=3726 9308
Scaffold_3036;HRSCAF=3727 6291
Scaffold_3037;HRSCAF=3728 10188
Scaffold_3038;HRSCAF=3729 12324
Scaffold_3039;HRSCAF=3730 10848
Scaffold_3040;HRSCAF=3731 9111
Scaffold_3041;HRSCAF=3732 11141
Scaffold_3042;HRSCAF=3733 11436
Scaffold_3043;HRSCAF=3734 4806
Scaffold_3044;HRSCAF=3735 4451
Scaffold_3045;HRSCAF=3736 10697
Scaffold_3046;HRSCAF=3737 1644
Scaffold_3047;HRSCAF=3738 4523
Scaffold_3048;HRSCAF=3739 11811
Scaffold_3049;HRSCAF=3740 3154
Scaffold_3050;HRSCAF=3741 11620
Scaffold_3051;HRSCAF=3742 8172
Scaffold_3052;HRSCAF=3743 10062
Scaffold_3053;HRSCAF=3744 10466
Scaffold_3054;HRSCAF=3745 16154
Scaffold_3055;HRSCAF=3746 2184
Scaffold_3056;HRSCAF=3747 11469
Scaffold_3057;HRSCAF=3748 2639
Scaffold_3058;HRSCAF=3749 13152
Scaffold_3059;HRSCAF=3750 4673
Scaffold_3060;HRSCAF=3751 9685
Scaffold_3061;HRSCAF=3752 8503
Scaffold_3062;HRSCAF=3753 6890
Scaffold_3063;HRSCAF=3754 12317
Scaffold_3064;HRSCAF=3755 6267
Scaffold_3065;HRSCAF=3756 7987
Scaffold_3066;HRSCAF=3757 12478
Scaffold_3067;HRSCAF=3758 11979
Scaffold_3068;HRSCAF=3759 10765
Scaffold_3069;HRSCAF=3760 3343
Scaffold_3070;HRSCAF=3761 10712
Scaffold_3071;HRSCAF=3762 5436
Scaffold_3072;HRSCAF=3763 2567
Scaffold_3073;HRSCAF=3764 2047
Scaffold_3074;HRSCAF=3765 12031
Scaffold_3075;HRSCAF=3766 8411
Scaffold_3076;HRSCAF=3767 10860
Scaffold_3077;HRSCAF=3768 6967
Scaffold_3078;HRSCAF=3769 8200
Scaffold_3079;HRSCAF=3770 6267
Scaffold_3080;HRSCAF=3771 2493
Scaffold_3081;HRSCAF=3772 10779
Scaffold_3082;HRSCAF=3773 10367
Scaffold_3083;HRSCAF=3774 9794
Scaffold_3084;HRSCAF=3775 1964
Scaffold_3085;HRSCAF=3776 10881
Scaffold_3086;HRSCAF=3777 1110
Scaffold_3087;HRSCAF=3778 5435
Scaffold_3088;HRSCAF=3779 12758
Scaffold_3089;HRSCAF=3780 5191
Scaffold_3090;HRSCAF=3781 9905
Scaffold_3091;HRSCAF=3782 13067
Scaffold_3092;HRSCAF=3783 4621
Scaffold_3093;HRSCAF=3784 13219
Scaffold_3094;HRSCAF=3785 11120
Scaffold_3095;HRSCAF=3786 11805
Scaffold_3096;HRSCAF=3787 3507
Scaffold_3097;HRSCAF=3788 13067
Scaffold_3098;HRSCAF=3789 2974
Scaffold_3099;HRSCAF=3790 4301
Scaffold_3100;HRSCAF=3791 1531
Scaffold_3101;HRSCAF=3792 1392
Scaffold_3102;HRSCAF=3793 10698
Scaffold_3103;HRSCAF=3794 5269
Scaffold_3104;HRSCAF=3795 13808
Scaffold_3105;HRSCAF=3796 7065
Scaffold_3106;HRSCAF=3797 3533
Scaffold_3107;HRSCAF=3798 4281
Scaffold_3108;HRSCAF=3799 8246
Scaffold_3109;HRSCAF=3800 10201
Scaffold_3110;HRSCAF=3801 10018
Scaffold_3111;HRSCAF=3802 10132
Scaffold_3112;HRSCAF=3803 5571
Scaffold_3113;HRSCAF=3804 11195
Scaffold_3114;HRSCAF=3805 8202
Scaffold_3115;HRSCAF=3806 1777
Scaffold_3116;HRSCAF=3807 13337
Scaffold_3117;HRSCAF=3808 2352
Scaffold_3118;HRSCAF=3809 3069
Scaffold_3119;HRSCAF=3810 8783
Scaffold_3120;HRSCAF=3811 13299
Scaffold_3121;HRSCAF=3812 6223
Scaffold_3122;HRSCAF=3813 3274
Scaffold_3123;HRSCAF=3814 3805
Scaffold_3124;HRSCAF=3815 13114
Scaffold_3125;HRSCAF=3816 8182
Scaffold_3126;HRSCAF=3817 8068
Scaffold_3127;HRSCAF=3818 1926
Scaffold_3128;HRSCAF=3819 4727
Scaffold_3129;HRSCAF=3820 2113
Scaffold_3130;HRSCAF=3821 3148
Scaffold_3131;HRSCAF=3822 9804
Scaffold_3132;HRSCAF=3823 6946
Scaffold_3133;HRSCAF=3824 14956
Scaffold_3134;HRSCAF=3825 11447
Scaffold_3135;HRSCAF=3826 8876
Scaffold_3136;HRSCAF=3827 5809
Scaffold_3137;HRSCAF=3828 10471
Scaffold_3138;HRSCAF=3829 3670
Scaffold_3139;HRSCAF=3830 13019
Scaffold_3140;HRSCAF=3831 9969
Scaffold_3141;HRSCAF=3832 12841
Scaffold_3142;HRSCAF=3833 13233
Scaffold_3143;HRSCAF=3834 8297
Scaffold_3144;HRSCAF=3835 10437
Scaffold_3145;HRSCAF=3836 7815
Scaffold_3146;HRSCAF=3837 5701
Scaffold_3147;HRSCAF=3838 14852
Scaffold_3148;HRSCAF=3839 2557
Scaffold_3149;HRSCAF=3840 7220
Scaffold_3150;HRSCAF=3841 4280
Scaffold_3151;HRSCAF=3842 11949
Scaffold_3152;HRSCAF=3843 10817
Scaffold_3153;HRSCAF=3844 6370
Scaffold_3154;HRSCAF=3845 11166
Scaffold_3155;HRSCAF=3846 8301
Scaffold_3156;HRSCAF=3847 6621
Scaffold_3157;HRSCAF=3848 10663
Scaffold_3158;HRSCAF=3849 11005
Scaffold_3159;HRSCAF=3850 15057
Scaffold_3160;HRSCAF=3851 3759
Scaffold_3161;HRSCAF=3852 10924
Scaffold_3162;HRSCAF=3853 8417
Scaffold_3163;HRSCAF=3854 11630
Scaffold_3164;HRSCAF=3855 16773
Scaffold_3165;HRSCAF=3856 2314
Scaffold_3166;HRSCAF=3857 5350
Scaffold_3167;HRSCAF=3858 8639
Scaffold_3168;HRSCAF=3859 3499
Scaffold_3169;HRSCAF=3860 6202
Scaffold_3170;HRSCAF=3861 5244
Scaffold_3171;HRSCAF=3862 1962
Scaffold_3172;HRSCAF=3863 4442
Scaffold_3173;HRSCAF=3864 10848
Scaffold_3174;HRSCAF=3865 4048
Scaffold_3175;HRSCAF=3866 1996
Scaffold_3176;HRSCAF=3867 7217
Scaffold_3177;HRSCAF=3868 9738
Scaffold_3178;HRSCAF=3869 3327
Scaffold_3179;HRSCAF=3870 3687
Scaffold_3180;HRSCAF=3871 10110
Scaffold_3181;HRSCAF=3872 1403
Scaffold_3182;HRSCAF=3873 11519
Scaffold_3183;HRSCAF=3874 7478
Scaffold_3184;HRSCAF=3875 7088
Scaffold_3185;HRSCAF=3876 13783
Scaffold_3186;HRSCAF=3877 5386
Scaffold_3187;HRSCAF=3878 9906
Scaffold_3188;HRSCAF=3879 10949
Scaffold_3189;HRSCAF=3880 9444
Scaffold_3190;HRSCAF=3881 2064
Scaffold_3191;HRSCAF=3882 12064
Scaffold_3192;HRSCAF=3883 1651
Scaffold_3193;HRSCAF=3884 12257
Scaffold_3194;HRSCAF=3885 9667
Scaffold_3195;HRSCAF=3886 1890
Scaffold_3196;HRSCAF=3887 5043
Scaffold_3197;HRSCAF=3888 4524
Scaffold_3198;HRSCAF=3889 9921
Scaffold_3199;HRSCAF=3890 13898
Scaffold_3200;HRSCAF=3891 12407
Scaffold_3201;HRSCAF=3892 7290
Scaffold_3202;HRSCAF=3893 10332
Scaffold_3203;HRSCAF=3894 2477
Scaffold_3204;HRSCAF=3895 11107
Scaffold_3205;HRSCAF=3896 10316
Scaffold_3206;HRSCAF=3897 7389
Scaffold_3207;HRSCAF=3898 1393
Scaffold_3208;HRSCAF=3899 4569
Scaffold_3209;HRSCAF=3900 12713
Scaffold_3210;HRSCAF=3901 2290
Scaffold_3211;HRSCAF=3902 12299
Scaffold_3212;HRSCAF=3903 2994
Scaffold_3213;HRSCAF=3904 2969
Scaffold_3214;HRSCAF=3905 3531
Scaffold_3215;HRSCAF=3906 7918
Scaffold_3216;HRSCAF=3907 14823
Scaffold_3217;HRSCAF=3908 9003
Scaffold_3218;HRSCAF=3909 14879
Scaffold_3219;HRSCAF=3910 15152
Scaffold_3220;HRSCAF=3911 5364
Scaffold_3221;HRSCAF=3912 7774
Scaffold_3222;HRSCAF=3913 4759
Scaffold_3223;HRSCAF=3914 11576
Scaffold_3224;HRSCAF=3915 6473
Scaffold_3225;HRSCAF=3916 2363
Scaffold_3226;HRSCAF=3917 1303
Scaffold_3227;HRSCAF=3918 11311
Scaffold_3228;HRSCAF=3919 4337
Scaffold_3229;HRSCAF=3920 11993
Scaffold_3230;HRSCAF=3921 15776
Scaffold_3231;HRSCAF=3922 11735
Scaffold_3232;HRSCAF=3923 5663
Scaffold_3233;HRSCAF=3924 10152
Scaffold_3234;HRSCAF=3925 3738
Scaffold_3235;HRSCAF=3926 11425
Scaffold_3236;HRSCAF=3927 10374
Scaffold_3237;HRSCAF=3928 14006
Scaffold_3238;HRSCAF=3929 2297
Scaffold_3239;HRSCAF=3930 4537
Scaffold_3240;HRSCAF=3931 4158
Scaffold_3241;HRSCAF=3932 10023
Scaffold_3242;HRSCAF=3933 4254
Scaffold_3243;HRSCAF=3934 10628
Scaffold_3244;HRSCAF=3935 9381
Scaffold_3245;HRSCAF=3936 11611
Scaffold_3246;HRSCAF=3937 6620
Scaffold_3247;HRSCAF=3938 11292
Scaffold_3248;HRSCAF=3939 13266
Scaffold_3249;HRSCAF=3940 12295
Scaffold_3250;HRSCAF=3941 11761
Scaffold_3251;HRSCAF=3942 1949
Scaffold_3252;HRSCAF=3943 7825
Scaffold_3253;HRSCAF=3944 9650
Scaffold_3254;HRSCAF=3945 11131
Scaffold_3255;HRSCAF=3946 4346
Scaffold_3256;HRSCAF=3947 4483
Scaffold_3257;HRSCAF=3948 3531
Scaffold_3258;HRSCAF=3949 5882
Scaffold_3259;HRSCAF=3950 5556
Scaffold_3260;HRSCAF=3951 2981
Scaffold_3261;HRSCAF=3952 3366
Scaffold_3262;HRSCAF=3953 3534
Scaffold_3263;HRSCAF=3954 6119
Scaffold_3264;HRSCAF=3955 4881
Scaffold_3265;HRSCAF=3956 7515
Scaffold_3266;HRSCAF=3957 9233
Scaffold_3267;HRSCAF=3958 11332
Scaffold_3268;HRSCAF=3959 6210
Scaffold_3269;HRSCAF=3960 1189
Scaffold_3270;HRSCAF=3961 1639
Scaffold_3271;HRSCAF=3962 12701
Scaffold_3272;HRSCAF=3963 10349
Scaffold_3273;HRSCAF=3964 2854
Scaffold_3274;HRSCAF=3965 4587
Scaffold_3275;HRSCAF=3966 8327
Scaffold_3276;HRSCAF=3967 10168
Scaffold_3277;HRSCAF=3968 10408
Scaffold_3278;HRSCAF=3969 6525
Scaffold_3279;HRSCAF=3970 10375
Scaffold_3280;HRSCAF=3971 1715
Scaffold_3281;HRSCAF=3972 6035
Scaffold_3282;HRSCAF=3973 12059
Scaffold_3283;HRSCAF=3974 10716
Scaffold_3284;HRSCAF=3975 8122
Scaffold_3285;HRSCAF=3976 10166
Scaffold_3286;HRSCAF=3977 11060
Scaffold_3287;HRSCAF=3978 7939
Scaffold_3288;HRSCAF=3979 10158
Scaffold_3289;HRSCAF=3980 14640
Scaffold_3290;HRSCAF=3981 6846
Scaffold_3291;HRSCAF=3982 10185
Scaffold_3292;HRSCAF=3983 9727
Scaffold_3293;HRSCAF=3984 2015
Scaffold_3294;HRSCAF=3985 2783
Scaffold_3295;HRSCAF=3986 10221
Scaffold_3296;HRSCAF=3987 6402
Scaffold_3297;HRSCAF=3988 4875
Scaffold_3298;HRSCAF=3989 7030
Scaffold_3299;HRSCAF=3990 3921
Scaffold_3300;HRSCAF=3991 10423
Scaffold_3301;HRSCAF=3992 3314
Scaffold_3302;HRSCAF=3993 2667
Scaffold_3303;HRSCAF=3994 8482
Scaffold_3304;HRSCAF=3995 11905
Scaffold_3305;HRSCAF=3996 7404
Scaffold_3306;HRSCAF=3997 9811
Scaffold_3307;HRSCAF=3998 6167
Scaffold_3308;HRSCAF=3999 10997
Scaffold_3309;HRSCAF=4000 9154
Scaffold_3310;HRSCAF=4001 5700
Scaffold_3311;HRSCAF=4002 1434
Scaffold_3312;HRSCAF=4003 12242
Scaffold_3313;HRSCAF=4004 5250
Scaffold_3314;HRSCAF=4005 4915
Scaffold_3315;HRSCAF=4006 9985
Scaffold_3316;HRSCAF=4007 1636
Scaffold_3317;HRSCAF=4008 10323
Scaffold_3318;HRSCAF=4009 3080
Scaffold_3319;HRSCAF=4010 5418
Scaffold_3320;HRSCAF=4011 2303
Scaffold_3321;HRSCAF=4012 8670
Scaffold_3322;HRSCAF=4013 2139
Scaffold_3323;HRSCAF=4014 1911
Scaffold_3324;HRSCAF=4015 16329
Scaffold_3325;HRSCAF=4016 6003
Scaffold_3326;HRSCAF=4017 2893
Scaffold_3327;HRSCAF=4018 10451
Scaffold_3328;HRSCAF=4019 3134
Scaffold_3329;HRSCAF=4020 2365
Scaffold_3330;HRSCAF=4021 11570
Scaffold_3331;HRSCAF=4022 12426
Scaffold_3332;HRSCAF=4023 4356
Scaffold_3333;HRSCAF=4024 10569
Scaffold_3334;HRSCAF=4025 12031
Scaffold_3335;HRSCAF=4026 3108
Scaffold_3336;HRSCAF=4027 3764
Scaffold_3337;HRSCAF=4028 1892
Scaffold_3338;HRSCAF=4029 10559
Scaffold_3339;HRSCAF=4030 2107
Scaffold_3340;HRSCAF=4031 10987
Scaffold_3341;HRSCAF=4032 11887
Scaffold_3342;HRSCAF=4033 11214
Scaffold_3343;HRSCAF=4034 10898
Scaffold_3344;HRSCAF=4035 4430
Scaffold_3345;HRSCAF=4036 11267
Scaffold_3346;HRSCAF=4037 1308
Scaffold_3347;HRSCAF=4038 3376
Scaffold_3348;HRSCAF=4039 4684
Scaffold_3349;HRSCAF=4040 7471
Scaffold_3350;HRSCAF=4041 10079
Scaffold_3351;HRSCAF=4042 2312
Scaffold_3352;HRSCAF=4043 3719
Scaffold_3353;HRSCAF=4044 2400
Scaffold_3354;HRSCAF=4045 4622
Scaffold_3355;HRSCAF=4046 14987
Scaffold_3356;HRSCAF=4047 2267
Scaffold_3357;HRSCAF=4048 1802
Scaffold_3358;HRSCAF=4049 3087
Scaffold_3359;HRSCAF=4050 3069
Scaffold_3360;HRSCAF=4051 4879
Scaffold_3361;HRSCAF=4052 10770
Scaffold_3362;HRSCAF=4053 13484
Scaffold_3363;HRSCAF=4054 4179
Scaffold_3364;HRSCAF=4055 9793
Scaffold_3365;HRSCAF=4056 6982
Scaffold_3366;HRSCAF=4057 11342
Scaffold_3367;HRSCAF=4058 2597
Scaffold_3368;HRSCAF=4059 11245
Scaffold_3369;HRSCAF=4060 6509
Scaffold_3370;HRSCAF=4061 1798
Scaffold_3371;HRSCAF=4062 14966
Scaffold_3372;HRSCAF=4063 9821
Scaffold_3373;HRSCAF=4064 9294
Scaffold_3374;HRSCAF=4065 2700
Scaffold_3375;HRSCAF=4066 9763
Scaffold_3376;HRSCAF=4067 2364
Scaffold_3377;HRSCAF=4068 9122
Scaffold_3378;HRSCAF=4069 6155
Scaffold_3379;HRSCAF=4070 8146
Scaffold_3380;HRSCAF=4071 12026
Scaffold_3381;HRSCAF=4072 2990
Scaffold_3382;HRSCAF=4073 1441
Scaffold_3383;HRSCAF=4074 8324
Scaffold_3384;HRSCAF=4075 12830
Scaffold_3385;HRSCAF=4076 12171
Scaffold_3386;HRSCAF=4077 5568
Scaffold_3387;HRSCAF=4078 9426
Scaffold_3388;HRSCAF=4079 11675
Scaffold_3389;HRSCAF=4080 3786
Scaffold_3390;HRSCAF=4081 3491
Scaffold_3391;HRSCAF=4082 6138
Scaffold_3392;HRSCAF=4083 6206
Scaffold_3393;HRSCAF=4084 5619
Scaffold_3394;HRSCAF=4085 1428
Scaffold_3395;HRSCAF=4086 7644
Scaffold_3396;HRSCAF=4087 6839
Scaffold_3397;HRSCAF=4088 9955
Scaffold_3398;HRSCAF=4089 13210
Scaffold_3399;HRSCAF=4090 3282
Scaffold_3400;HRSCAF=4091 11730
Scaffold_3401;HRSCAF=4092 4245
Scaffold_3402;HRSCAF=4093 2176
Scaffold_3403;HRSCAF=4094 5443
Scaffold_3404;HRSCAF=4095 1736
Scaffold_3405;HRSCAF=4096 12911
Scaffold_3406;HRSCAF=4097 12149
Scaffold_3407;HRSCAF=4098 3142
Scaffold_3408;HRSCAF=4099 6500
Scaffold_3409;HRSCAF=4100 3985
Scaffold_3410;HRSCAF=4101 3190
Scaffold_3411;HRSCAF=4102 11866
Scaffold_3412;HRSCAF=4103 9085
Scaffold_3413;HRSCAF=4104 10654
Scaffold_3414;HRSCAF=4105 11956
Scaffold_3415;HRSCAF=4106 15245
Scaffold_3416;HRSCAF=4107 2000
Scaffold_3417;HRSCAF=4108 4659
Scaffold_3418;HRSCAF=4111 30769
Scaffold_3419;HRSCAF=4112 20656
Scaffold_3420;HRSCAF=4113 13865
Scaffold_3421;HRSCAF=4115 15356
Scaffold_3422;HRSCAF=4116 11449
Scaffold_3423;HRSCAF=4117 29283
Scaffold_3424;HRSCAF=4118 13568
Scaffold_3425;HRSCAF=4119 16247
Scaffold_3426;HRSCAF=4120 29700
Scaffold_3427;HRSCAF=4122 75610
Scaffold_3428;HRSCAF=4123 13861
Scaffold_3429;HRSCAF=4126 13346
Scaffold_3430;HRSCAF=4128 17620
Scaffold_3431;HRSCAF=4129 23046
Scaffold_3432;HRSCAF=4130 79967
Scaffold_3433;HRSCAF=4133 128228
Scaffold_3434;HRSCAF=4135 58704
Scaffold_3435;HRSCAF=4136 81648
Scaffold_3436;HRSCAF=4138 17624
Scaffold_3437;HRSCAF=4140 14222
