Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0010258	NADH dehydrogenase complex (plastoquinone) assembly	0.0429	OG0003532, OG0012949, OG0009626	Tfasc_v1.04352, Tfasc_v1.18364, Tfasc_v1.24937
BP	GO:1904482	cellular response to tetrahydrofolate	0.0429	OG0011342, OG0011152, OG0014757	Tfasc_v1.18282, Tfasc_v1.19373, Tfasc_v1.21774
BP	GO:0009958	positive gravitropism	0.0429	OG0000782, OG0015047, OG0014982	Tfasc_v1.11037, Tfasc_v1.17961, Tfasc_v1.24658
BP	GO:0006623	protein targeting to vacuole	0.04725	OG0007129, OG0016858, OG0004347, OG0015047, OG0018543, OG0011482, OG0001435, OG0000769, OG0004898, OG0006836, OG0002265	Tfasc_v1.08867, Tfasc_v1.09447, Tfasc_v1.12440, Tfasc_v1.12444, Tfasc_v1.17961, Tfasc_v1.20969, Tfasc_v1.23111, Tfasc_v1.23961, Tfasc_v1.25115, Tfasc_v1.26256, Tfasc_v1.26836, Tfasc_v1.27794, Tfasc_v1.28604
BP	GO:0042793	plastid transcription	0.04763	OG0001145, OG0007617, OG0016812, OG0007466, OG0015633	Tfasc_v1.11563, Tfasc_v1.19894, Tfasc_v1.20396, Tfasc_v1.22392, Tfasc_v1.26097
BP	GO:0009052	pentose-phosphate shunt, non-oxidative branch	0.04763	OG0003538, OG0001803, OG0012729, OG0004809	Tfasc_v1.04749, Tfasc_v1.15999, Tfasc_v1.20732, Tfasc_v1.22200, Tfasc_v1.30653
BP	GO:0016311	dephosphorylation	0.04983	OG0015299, OG0005321, OG0011622, OG0011643, OG0016010, OG0006439, OG0000588, OG0011025, OG0011024, OG0012604, OG0018793, OG0018803, OG0013363, OG0003829, OG0001443, OG0006374, OG0002725, OG0006144, OG0006081, OG0003990, OG0007093, OG0007116, OG0016741, OG0007273, OG0013206, OG0011016, OG0010748, OG0012558, OG0010333, OG0010056, OG0005275, OG0001253, OG0005961, OG0004747, OG0000750, OG0014999, OG0007934, OG0007933, OG0009668, OG0009682, OG0018686, OG0001410, OG0010133, OG0014883, OG0015042, OG0014341, OG0019130, OG0012914, OG0007783, OG0002024, OG0003283, OG0015074, OG0011514, OG0011496, OG0003562, OG0008775, OG0008853, OG0009553, OG0009474, OG0018258, OG0014228, OG0015464, OG0017858, OG0009984, OG0010005, OG0010060, OG0004394, OG0010641, OG0006842, OG0006722, OG0000211, OG0010603, OG0011856, OG0004097, OG0002136, OG0009436, OG0015615	Tfasc_v1.00028, Tfasc_v1.00053, Tfasc_v1.00125, Tfasc_v1.00171, Tfasc_v1.00898, Tfasc_v1.01090, Tfasc_v1.01178, Tfasc_v1.01632, Tfasc_v1.01633, Tfasc_v1.01879, Tfasc_v1.02016, Tfasc_v1.02212, Tfasc_v1.02532, Tfasc_v1.02959, Tfasc_v1.02960, Tfasc_v1.04396, Tfasc_v1.04801, Tfasc_v1.04802, Tfasc_v1.05703, Tfasc_v1.06281, Tfasc_v1.06382, Tfasc_v1.06444, Tfasc_v1.07620, Tfasc_v1.08781, Tfasc_v1.08832, Tfasc_v1.08971, Tfasc_v1.09148, Tfasc_v1.10615, Tfasc_v1.10758, Tfasc_v1.11869, Tfasc_v1.11961, Tfasc_v1.12652, Tfasc_v1.13250, Tfasc_v1.13335, Tfasc_v1.13401, Tfasc_v1.13456, Tfasc_v1.13972, Tfasc_v1.14340, Tfasc_v1.14687, Tfasc_v1.14747, Tfasc_v1.14779, Tfasc_v1.14915, Tfasc_v1.14920, Tfasc_v1.16103, Tfasc_v1.16130, Tfasc_v1.16621, Tfasc_v1.17219, Tfasc_v1.17482, Tfasc_v1.17882, Tfasc_v1.18009, Tfasc_v1.18182, Tfasc_v1.18407, Tfasc_v1.18442, Tfasc_v1.20288, Tfasc_v1.22315, Tfasc_v1.22442, Tfasc_v1.22814, Tfasc_v1.23074, Tfasc_v1.23104, Tfasc_v1.23953, Tfasc_v1.24000, Tfasc_v1.24161, Tfasc_v1.25117, Tfasc_v1.25344, Tfasc_v1.25409, Tfasc_v1.25763, Tfasc_v1.26028, Tfasc_v1.26334, Tfasc_v1.26587, Tfasc_v1.26614, Tfasc_v1.26744, Tfasc_v1.26905, Tfasc_v1.26995, Tfasc_v1.27783, Tfasc_v1.27989, Tfasc_v1.28031, Tfasc_v1.28640, Tfasc_v1.29152, Tfasc_v1.29186, Tfasc_v1.29709, Tfasc_v1.30347, Tfasc_v1.30518
MF	GO:0003729	mRNA binding	6.2e-07	OG0018348, OG0001080, OG0001295, OG0001312, OG0009903, OG0003548, OG0012528, OG0006278, OG0000772, OG0005531, OG0010407, OG0003969, OG0004151, OG0000585, OG0013955, OG0011740, OG0011819, OG0013092, OG0000480, OG0019234, OG0015024, OG0015018, OG0008010, OG0008065, OG0009685, OG0014194, OG0013715, OG0014008, OG0007822, OG0007888, OG0018577, OG0017269, OG0014754, OG0007507, OG0007397, OG0011860, OG0008877, OG0009607, OG0009547, OG0018278, OG0015335, OG0015446, OG0015421, OG0015463, OG0010026, OG0010051, OG0017047, OG0001968, OG0006759, OG0010543, OG0010241, OG0010288, OG0009217, OG0013436	Tfasc_v1.00160, Tfasc_v1.00425, Tfasc_v1.01091, Tfasc_v1.01433, Tfasc_v1.03406, Tfasc_v1.04809, Tfasc_v1.04880, Tfasc_v1.05974, Tfasc_v1.06769, Tfasc_v1.07756, Tfasc_v1.07763, Tfasc_v1.07772, Tfasc_v1.08045, Tfasc_v1.08046, Tfasc_v1.08723, Tfasc_v1.12220, Tfasc_v1.12312, Tfasc_v1.12504, Tfasc_v1.13037, Tfasc_v1.13915, Tfasc_v1.14533, Tfasc_v1.14725, Tfasc_v1.14734, Tfasc_v1.15036, Tfasc_v1.15131, Tfasc_v1.16136, Tfasc_v1.17753, Tfasc_v1.18474, Tfasc_v1.18719, Tfasc_v1.18810, Tfasc_v1.20391, Tfasc_v1.20517, Tfasc_v1.21417, Tfasc_v1.21518, Tfasc_v1.21663, Tfasc_v1.21729, Tfasc_v1.22303, Tfasc_v1.22547, Tfasc_v1.23370, Tfasc_v1.24220, Tfasc_v1.24984, Tfasc_v1.25128, Tfasc_v1.25688, Tfasc_v1.25689, Tfasc_v1.25894, Tfasc_v1.25948, Tfasc_v1.26027, Tfasc_v1.26656, Tfasc_v1.26729, Tfasc_v1.26840, Tfasc_v1.27786, Tfasc_v1.27932, Tfasc_v1.28765, Tfasc_v1.28880, Tfasc_v1.28966, Tfasc_v1.29391, Tfasc_v1.30569
MF	GO:0003924	GTPase activity	2.2e-06	OG0000327, OG0006487, OG0018782, OG0000741, OG0013334, OG0003820, OG0013647, OG0013588, OG0000213, OG0008640, OG0008579, OG0000999, OG0006326, OG0000924, OG0000654, OG0001093, OG0011056, OG0007281, OG0001426, OG0010971, OG0000782, OG0000322, OG0013975, OG0000711, OG0005948, OG0001886, OG0014947, OG0009693, OG0014031, OG0014875, OG0001071, OG0001714, OG0016075, OG0018546, OG0012208, OG0007533, OG0008765, OG0008960, OG0016838, OG0012772, OG0015438, OG0007002, OG0000317, OG0004140	Tfasc_v1.00717, Tfasc_v1.01231, Tfasc_v1.01861, Tfasc_v1.02143, Tfasc_v1.02411, Tfasc_v1.03049, Tfasc_v1.03271, Tfasc_v1.03592, Tfasc_v1.04141, Tfasc_v1.04389, Tfasc_v1.04503, Tfasc_v1.04738, Tfasc_v1.05870, Tfasc_v1.06148, Tfasc_v1.06588, Tfasc_v1.06592, Tfasc_v1.06650, Tfasc_v1.08100, Tfasc_v1.08961, Tfasc_v1.09181, Tfasc_v1.09461, Tfasc_v1.10835, Tfasc_v1.11037, Tfasc_v1.11279, Tfasc_v1.11934, Tfasc_v1.11971, Tfasc_v1.12107, Tfasc_v1.12276, Tfasc_v1.14108, Tfasc_v1.14312, Tfasc_v1.14455, Tfasc_v1.14618, Tfasc_v1.16144, Tfasc_v1.17298, Tfasc_v1.17861, Tfasc_v1.18340, Tfasc_v1.18572, Tfasc_v1.20296, Tfasc_v1.20638, Tfasc_v1.21040, Tfasc_v1.21043, Tfasc_v1.21370, Tfasc_v1.22263, Tfasc_v1.23188, Tfasc_v1.23980, Tfasc_v1.24100, Tfasc_v1.24364, Tfasc_v1.24480, Tfasc_v1.24611, Tfasc_v1.25905, Tfasc_v1.27174, Tfasc_v1.27630, Tfasc_v1.28841, Tfasc_v1.29215
MF	GO:0003746	translation elongation factor activity	3.2e-06	OG0006487, OG0013334, OG0009870, OG0000609, OG0011076, OG0011056, OG0001426, OG0001510, OG0013499, OG0011800, OG0014031, OG0016797, OG0011470, OG0008960, OG0012772, OG0009625, OG0017034, OG0001518	Tfasc_v1.01231, Tfasc_v1.02411, Tfasc_v1.03489, Tfasc_v1.04667, Tfasc_v1.08056, Tfasc_v1.08100, Tfasc_v1.09461, Tfasc_v1.10890, Tfasc_v1.11444, Tfasc_v1.12077, Tfasc_v1.12445, Tfasc_v1.17298, Tfasc_v1.20009, Tfasc_v1.23144, Tfasc_v1.24100, Tfasc_v1.24364, Tfasc_v1.24611, Tfasc_v1.24948, Tfasc_v1.26550, Tfasc_v1.26552
MF	GO:0005198	structural molecule activity	2.5e-05	OG0002379, OG0000327, OG0012668, OG0015394, OG0004989, OG0000213, OG0008524, OG0001637, OG0010665, OG0010453, OG0013107, OG0010971, OG0001575, OG0001264, OG0005104, OG0005797, OG0002929, OG0005773, OG0016587, OG0001257, OG0006012, OG0019232, OG0008998, OG0001628, OG0017186, OG0003378, OG0018586, OG0011576, OG0013023, OG0000812, OG0008872, OG0000769, OG0010119, OG0005382, OG0010564	Tfasc_v1.00151, Tfasc_v1.00717, Tfasc_v1.02018, Tfasc_v1.02243, Tfasc_v1.03105, Tfasc_v1.04141, Tfasc_v1.04600, Tfasc_v1.06683, Tfasc_v1.07134, Tfasc_v1.07668, Tfasc_v1.08275, Tfasc_v1.10835, Tfasc_v1.10960, Tfasc_v1.11228, Tfasc_v1.11934, Tfasc_v1.11971, Tfasc_v1.12346, Tfasc_v1.12878, Tfasc_v1.13976, Tfasc_v1.13981, Tfasc_v1.14059, Tfasc_v1.14076, Tfasc_v1.14262, Tfasc_v1.14454, Tfasc_v1.14489, Tfasc_v1.16114, Tfasc_v1.16376, Tfasc_v1.17106, Tfasc_v1.18227, Tfasc_v1.20411, Tfasc_v1.21644, Tfasc_v1.22944, Tfasc_v1.23656, Tfasc_v1.23713, Tfasc_v1.24201, Tfasc_v1.25115, Tfasc_v1.26845, Tfasc_v1.27400, Tfasc_v1.28823, Tfasc_v1.28841
MF	GO:0005525	GTP binding	3.5e-05	OG0000327, OG0006487, OG0006539, OG0018782, OG0000741, OG0001752, OG0013334, OG0003820, OG0013647, OG0013588, OG0000213, OG0008640, OG0008579, OG0000999, OG0006326, OG0000924, OG0000654, OG0001093, OG0011056, OG0007281, OG0001426, OG0010971, OG0000782, OG0000322, OG0013975, OG0000711, OG0005948, OG0000763, OG0001886, OG0006038, OG0014947, OG0012141, OG0009693, OG0014031, OG0014875, OG0001071, OG0001714, OG0011179, OG0019506, OG0016075, OG0018546, OG0007533, OG0002924, OG0008765, OG0008960, OG0016838, OG0012772, OG0015438, OG0007002, OG0000317, OG0004140, OG0002510	Tfasc_v1.00717, Tfasc_v1.01231, Tfasc_v1.01341, Tfasc_v1.01861, Tfasc_v1.02143, Tfasc_v1.02256, Tfasc_v1.02411, Tfasc_v1.03049, Tfasc_v1.03271, Tfasc_v1.03592, Tfasc_v1.04141, Tfasc_v1.04389, Tfasc_v1.04503, Tfasc_v1.04738, Tfasc_v1.05870, Tfasc_v1.06148, Tfasc_v1.06588, Tfasc_v1.06592, Tfasc_v1.06650, Tfasc_v1.08100, Tfasc_v1.08961, Tfasc_v1.09181, Tfasc_v1.09461, Tfasc_v1.10835, Tfasc_v1.11037, Tfasc_v1.11279, Tfasc_v1.11934, Tfasc_v1.11971, Tfasc_v1.12107, Tfasc_v1.12276, Tfasc_v1.14108, Tfasc_v1.14312, Tfasc_v1.14413, Tfasc_v1.14455, Tfasc_v1.14476, Tfasc_v1.14618, Tfasc_v1.15950, Tfasc_v1.16144, Tfasc_v1.17298, Tfasc_v1.17861, Tfasc_v1.18340, Tfasc_v1.18572, Tfasc_v1.19415, Tfasc_v1.19476, Tfasc_v1.20296, Tfasc_v1.20638, Tfasc_v1.21040, Tfasc_v1.21043, Tfasc_v1.22263, Tfasc_v1.22930, Tfasc_v1.23188, Tfasc_v1.23980, Tfasc_v1.24100, Tfasc_v1.24364, Tfasc_v1.24480, Tfasc_v1.24611, Tfasc_v1.25905, Tfasc_v1.27174, Tfasc_v1.27630, Tfasc_v1.28841, Tfasc_v1.29215, Tfasc_v1.30517
