Ortho_ID	Tfas_ID	Tlei_ID	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
OG0010193_NT	Tfasc_v1.17595-RA:cds	Tlei_v1.26492-RA:cds	MYN	0.00537453	0.0473393	0.113532	0.000657071	744	173.661	570.339	NA	11	7.94652	3.05348	NA	NA	0.0151698	2.11228:2.97179:1:1:1:1	0.527873(0.564846:0.390785:0.627986)	NA	NA	NA	NA
OG0018777_NT	Tfasc_v1.01727-RA:cds	Tlei_v1.27462-RA:cds	MYN	0.00307713	0.0323924	0.0949954	0.000541276	1203	225.796	977.204	NA	10	7	3	NA	NA	0.00857944	4.72777:4.11566:1:1:1:1	0.548999(0.546137:0.379828:0.72103)	NA	NA	NA	NA
OG0005244_NT	Tfasc_v1.14623-RA:cds	Tlei_v1.21388-RA:cds	MYN	0.00712225	0.0133893	0.531937	0.254163	1149	301.999	847.001	NA	10	4	6	NA	NA	0.00876945	5.02376:7.23295:1:1:1:1	0.463178(0.497674:0.454651:0.437209)	NA	NA	NA	NA
OG0015183_NT	Tfasc_v1.00409-RA:cds	Tlei_v1.03314-RA:cds	MYN	0.0053305	0.0488882	0.109034	5.75976e-05	987	233.381	753.619	NA	15	11	4	NA	NA	0.0156299	1.89122:2.36631:1:1:1:1	0.411444(0.50545:0.376022:0.352861)	NA	NA	NA	NA
OG0012362_NT	Tfasc_v1.06757-RA:cds	Tlei_v1.14621-RA:cds	MYN	0.0516526	0.112974	0.45721	0.0235936	639	132.703	506.297	NA	39	13.7412	25.2588	NA	NA	0.0643873	1.03787:0.544372:1:1:1:1	0.408(0.468:0.362:0.394)	NA	NA	NA	NA
OG0009871_NT	Tfasc_v1.03485-RA:cds	Tlei_v1.09444-RA:cds	MYN	0.00181218	0.0284344	0.0637319	0.00386673	732	179.42	552.58	NA	6	5	1	NA	NA	0.00833752	2:2:1:1:1:1	0.549887(0.54932:0.467687:0.632653)	NA	NA	NA	NA
OG0009395_NT	Tfasc_v1.30139-RA:cds	Tlei_v1.20783-RA:cds	MYN	0.00727797	0.0205385	0.354358	0.0771829	1086	395.558	690.442	NA	13	8	5	NA	NA	0.0121079	1.77935:4.68791:1:1:1:1	0.512149(0.522779:0.664009:0.349658)	NA	NA	NA	NA
OG0007069_NT	Tfasc_v1.08743-RA:cds	Tlei_v1.13286-RA:cds	MYN	0.0186247	0.0157221	1.18462	0.929885	510	129.375	380.625	NA	9	2	7	NA	NA	0.0178884	2.88429:0.818793:1:1:1:1	0.443089(0.490244:0.370732:0.468293)	NA	NA	NA	NA
OG0009138_NT	Tfasc_v1.29732-RA:cds	Tlei_v1.31104-RA:cds	MYN	0.0210147	0.0562115	0.373851	0.0144879	864	245.378	618.622	NA	26	13.1837	12.8163	NA	NA	0.0310107	3.984:1.38662:1:1:1:1	0.485264(0.460366:0.439024:0.556402)	NA	NA	NA	NA
OG0005801_NT	Tfasc_v1.13988-RA:cds	Tlei_v1.19307-RA:cds	MYN	0.013213	0.0164126	0.805051	0.568249	1074	309.363	764.637	NA	15	5	10	NA	NA	0.0141346	5.92834:8.4575:1:1:1:1	0.530892(0.525172:0.491991:0.575515)	NA	NA	NA	NA
OG0007610_NT	Tfasc_v1.19898-RA:cds	Tlei_v1.05702-RA:cds	MYN	0.0625513	0.135033	0.46323	0.0216694	570	110.199	459.801	NA	41	13.4443	27.5557	NA	NA	0.0765642	1.61918:1.26561:1:1:1:1	0.445946(0.382883:0.367117:0.587838)	NA	NA	NA	NA
OG0007258_NT	Tfasc_v1.09103-RA:cds	Tlei_v1.12939-RA:cds	MYN	0.0210463	0.0496679	0.423741	0.0543989	636	177.03	458.97	NA	18	8.49646	9.50354	NA	NA	0.0290131	3.94307:2.27629:1:1:1:1	0.465422(0.425311:0.437759:0.533195)	NA	NA	NA	NA
OG0019398_NT	Tfasc_v1.12770-RA:cds	Tlei_v1.10479-RA:cds	MYN	0.153284	0.48263	0.317601	0.00546514	177	31.5382	145.462	NA	30	10.2576	19.7424	NA	NA	0.211967	2:2:1:1:1:1	0.330918(0.427536:0.282609:0.282609)	NA	NA	NA	NA
OG0011708_NT	Tfasc_v1.00370-RA:cds	Tlei_v1.03358-RA:cds	MYN	0.0130775	0.0204181	0.640485	0.302381	1188	370.359	817.641	NA	18	7.44448	10.5555	NA	NA	0.0153659	4.78643:1.74777:1:1:1:1	0.438126(0.446352:0.372318:0.495708)	NA	NA	NA	NA
OG0012242_NT	Tfasc_v1.21282-RA:cds	Tlei_v1.17449-RA:cds	MYN	0.0266612	0.0804987	0.331201	0.00831879	639	166.249	472.751	NA	25	12.6185	12.3815	NA	NA	0.0406681	0.778512:1.15404:1:1:1:1	0.498016(0.515873:0.44246:0.535714)	NA	NA	NA	NA
OG0012609_NT	Tfasc_v1.01892-RA:cds	Tlei_v1.27295-RA:cds	MYN	0.0252532	0.0334042	0.755989	0.57406	636	163.376	472.624	NA	17	5.32507	11.6749	NA	NA	0.0273471	2:2:1:1:1:1	0.385602(0.380178:0.371302:0.405325)	NA	NA	NA	NA
OG0003175_NT	Tfasc_v1.26568-RA:cds	Tlei_v1.28211-RA:cds	MYN	0.147915	0.218553	0.676794	0.294924	375	85.4568	289.543	NA	54	15.1579	38.8421	NA	NA	0.164013	1.89994:0.49013:1:1:1:1	0.431866(0.455975:0.377358:0.462264)	NA	NA	NA	NA
OG0010986_NT	Tfasc_v1.10830-RA:cds	Tlei_v1.12700-RA:cds	MYN	0.0793447	0.105056	0.75526	0.398836	492	96.4492	395.551	NA	39	9.24858	29.7514	NA	NA	0.084385	0.891599:1.53856:1:1:1:1	0.477072(0.412698:0.362434:0.656085)	NA	NA	NA	NA
OG0013394_NT	Tfasc_v1.03355-RA:cds	Tlei_v1.09323-RA:cds	MYN	0.00324085	0.020916	0.154946	0.0218616	864	244.864	619.136	NA	7	5	2	NA	NA	0.00825013	2:2:1:1:1:1	0.488725(0.532353:0.436765:0.497059)	NA	NA	NA	NA
OG0011872_NT	Tfasc_v1.23349-RA:cds	Tlei_v1.23440-RA:cds	MYN	0.0304003	0.0577092	0.526785	0.149506	594	174.723	419.277	NA	22	9.5203	12.4797	NA	NA	0.0384331	2.60255:1.52876:1:1:1:1	0.507474(0.508969:0.5:0.513453)	NA	NA	NA	NA
OG0001968_NT	Tfasc_v1.27786-RA:cds	Tlei_v1.30071-RA:cds	MYN	0.00161931	0.0157634	0.102726	0.0414109	813	194.639	618.361	NA	4	3	1	NA	NA	0.00500551	2:2:1:1:1:1	0.399017(0.479893:0.296247:0.420912)	NA	NA	NA	NA
OG0017989_NT	Tfasc_v1.04507-RA:cds	Tlei_v1.08341-RA:cds	MYN	0.0100835	0.0621534	0.162236	6.43684e-05	1020	220.842	799.158	NA	21	13	8	NA	NA	0.0213573	1.97187:2.60884:1:1:1:1	0.527656(0.512009:0.413755:0.657205)	NA	NA	NA	NA
OG0011833_NT	Tfasc_v1.12523-RA:cds	Tlei_v1.10110-RA:cds	MYN	0.0136274	0.0229663	0.593365	0.383154	1008	267.408	740.592	NA	16	6	10	NA	NA	0.0161049	1.81142:2.02169:1:1:1:1	0.442217(0.509434:0.400943:0.416274)	NA	NA	NA	NA
OG0006912_NT	Tfasc_v1.27642-RA:cds	Tlei_v1.29938-RA:cds	MYN	0.0163041	0.0698258	0.233497	0.00261736	600	165.882	434.118	NA	18	11	7	NA	NA	0.0311012	5.46732:5.08505:1:1:1:1	0.504329(0.504329:0.406926:0.601732)	NA	NA	NA	NA
OG0011721_NT	Tfasc_v1.00385-RA:cds	Tlei_v1.03340-RA:cds	MYN	0.00402379	0.0380512	0.105747	0.00381787	663	164.44	498.56	NA	8	6	2	NA	NA	0.0124634	2:2:1:1:1:1	0.418011(0.433468:0.342742:0.477823)	NA	NA	NA	NA
OG0012857_NT	Tfasc_v1.02395-RA:cds	Tlei_v1.26833-RA:cds	MYN	0.00748055	0.0292593	0.255664	0.0474212	717	178.864	538.136	NA	9	5	4	NA	NA	0.0129135	2:2:1:1:1:1	0.485279(0.498423:0.402208:0.555205)	NA	NA	NA	NA
OG0012402_NT	Tfasc_v1.06857-RA:cds	Tlei_v1.14713-RA:cds	MYN	0.231493	0.303469	0.762821	0.250069	597	115.464	481.536	NA	124	28.3605	95.6395	NA	NA	0.245414	0.721294:0.87307:1:1:1:1	0.382239(0.38417:0.362934:0.399614)	NA	NA	NA	NA
OG0005782_NT	Tfasc_v1.14034-RA:cds	Tlei_v1.19265-RA:cds	MYN	0.025382	0.0436427	0.581585	0.29005	651	170.056	480.944	NA	19	7	12	NA	NA	0.0301521	2.58427:2.38748:1:1:1:1	0.442332(0.423954:0.39924:0.503802)	NA	NA	NA	NA
OG0003157_NT	Tfasc_v1.27716-RA:cds	Tlei_v1.30002-RA:cds	MYN	0.00187275	0.0150556	0.124389	0.0606105	741	204.676	536.324	NA	4	3	1	NA	NA	0.00551409	2:2:1:1:1:1	0.476836(0.532203:0.381356:0.516949)	NA	NA	NA	NA
OG0008133_NT	Tfasc_v1.15294-RA:cds	Tlei_v1.22028-RA:cds	MYN	0.00136619	0.0183064	0.0746292	0.00662283	1011	277.358	733.642	NA	6	5	1	NA	NA	0.00601358	2.47531:2.37769:1:1:1:1	0.434167(0.49:0.39375:0.41875)	NA	NA	NA	NA
OG0011265_NT	Tfasc_v1.00826-RA:cds	Tlei_v1.02830-RA:cds	MYN	0.0132483	0.0219867	0.60256	0.278268	1170	312.69	857.31	NA	18	6.75106	11.2489	NA	NA	0.0155837	2:2:1:1:1:1	0.405908(0.462801:0.396061:0.358862)	NA	NA	NA	NA
OG0002099_NT	Tfasc_v1.04490-RA:cds	Tlei_v1.08324-RA:cds	MYN	0.00481906	NA	NA	NA	267	58.7272	208.273	NA	1	NA	1	NA	NA	0.0037591	2:2:1:1:1:1	0.559871(0.626214:0.34466:0.708738)	NA	NA	NA	NA
OG0003637_NT	Tfasc_v1.17031-RA:cds	Tlei_v1.07899-RA:cds	MYN	0.0220458	0.044235	0.498378	0.121361	561	145.732	415.268	NA	15	6	9	NA	NA	0.0278099	5.13643:16.2464:1:1:1:1	0.424569(0.448276:0.357759:0.467672)	NA	NA	NA	NA
OG0013726_NT	Tfasc_v1.18483-RA:cds	Tlei_v1.15927-RA:cds	MYN	0.0064064	0.0477725	0.134102	0.000110886	1449	194.839	1254.16	NA	17	9	8	NA	NA	0.0119687	0.688889:1.88328:1:1:1:1	0.575926(0.533333:0.436111:0.758333)	NA	NA	NA	NA
OG0002105_NT	Tfasc_v1.04388-RA:cds	Tlei_v1.08227-RA:cds	MYN	0.00935333	0.0149734	0.624664	0.462525	1026	272.539	753.461	NA	11	4	7	NA	NA	0.0108462	2.36096:4.44491:1:1:1:1	0.443536(0.477804:0.433411:0.419393)	NA	NA	NA	NA
OG0005193_NT	Tfasc_v1.29538-RA:cds	Tlei_v1.31278-RA:cds	MYN	0.0607619	0.0356616	1.70384	0.866647	237	33.1549	203.845	NA	13	1.11121	11.8888	NA	NA	0.0572505	1.13505:2.07196:1:1:1:1	0.47411(0.451456:0.320388:0.650485)	NA	NA	NA	NA
OG0003229_NT	Tfasc_v1.08963-RA:cds	Tlei_v1.13067-RA:cds	MYN	0.00501118	0.0104253	0.480674	0.223795	1389	387.87	1001.13	NA	9	4	5	NA	NA	0.00652305	4.42456:2.99853:1:1:1:1	0.41761(0.527358:0.359434:0.366038)	NA	NA	NA	NA
OG0012276_NT	Tfasc_v1.21194-RA:cds	Tlei_v1.17542-RA:cds	MYN	0.00200601	0.0114496	0.175203	0.153345	678	178.735	499.265	NA	3	2	1	NA	NA	0.00449555	2:2:1:1:1:1	0.496269(0.544776:0.386194:0.557836)	NA	NA	NA	NA
OG0007923_NT	Tfasc_v1.14873-RA:cds	Tlei_v1.21608-RA:cds	MYN	0.0102971	0.0408727	0.251931	0.0360135	618	127.603	490.397	NA	10	5	5	NA	NA	0.0166103	2:2:1:1:1:1	0.55226(0.574153:0.389831:0.692797)	NA	NA	NA	NA
OG0019103_NT	Tfasc_v1.07393-RA:cds	Tlei_v1.15363-RA:cds	MYN	0.22609	0.290577	0.778073	0.259653	558	126.55	431.45	NA	114	30.0461	83.9539	NA	NA	0.240715	1.69965:1.85584:1:1:1:1	0.432412(0.516129:0.389401:0.391705)	NA	NA	NA	NA
OG0012192_NT	Tfasc_v1.01787-RB:cds	Tlei_v1.27408-RA:cds	MYN	0.00502195	0.0146083	0.343774	0.100314	1146	346.017	799.983	NA	9	5	4	NA	NA	0.0079164	2:2:1:1:1:1	0.545455(0.636364:0.491342:0.508658)	NA	NA	NA	NA
OG0019382_NT	Tfasc_v1.12528-RA:cds	Tlei_v1.10115-RA:cds	MYN	0.0161798	0.0681798	0.237311	0.133608	345	32.4508	312.549	NA	7	2	5	NA	NA	0.021071	2:2:1:1:1:1	0.614734(0.583333:0.413043:0.847826)	NA	NA	NA	NA
OG0018343_NT	Tfasc_v1.00045-RA:cds	Tlei_v1.03631-RA:cds	MYN	0.0130686	0.0302072	0.43263	0.258792	336	101.734	234.266	NA	6	3	3	NA	NA	0.0182578	2:2:1:1:1:1	0.440285(0.390374:0.438503:0.491979)	NA	NA	NA	NA
OG0004784_NT	Tfasc_v1.00424-RA:cds	Tlei_v1.03118-RA:cds	MYN	0.00853214	0.0208007	0.410186	0.137124	834	244.339	589.661	NA	10	5	5	NA	NA	0.0121265	4.81735:1.6879:1:1:1:1	0.481038(0.47006:0.429641:0.543413)	NA	NA	NA	NA
OG0010677_NT	Tfasc_v1.07021-RA:cds	Tlei_v1.14858-RA:cds	MYN	0.0193484	0.0210091	0.920956	0.807268	1026	292.599	733.401	NA	20	6	14	NA	NA	0.019822	2.587:2.3401:1:1:1:1	0.448454(0.470361:0.378866:0.496134)	NA	NA	NA	NA
OG0019052_NT	Tfasc_v1.28033-RA:cds	Tlei_v1.30305-RA:cds	MYN	0.119525	0.107993	1.10679	0.847621	327	102.667	224.333	NA	35	10.2812	24.7188	NA	NA	0.115905	3.11788:0.709968:1:1:1:1	0.52904(0.541667:0.503788:0.541667)	NA	NA	NA	NA
OG0007624_NT	Tfasc_v1.19883-RA:cds	Tlei_v1.05685-RA:cds	MYN	0.00631442	0.0354768	0.177987	0.00093672	1116	319.494	796.506	NA	16	11	5	NA	NA	0.0146632	5.50356:6.36987:1:1:1:1	0.458531(0.495261:0.361374:0.518957)	NA	NA	NA	NA
OG0009744_NT	Tfasc_v1.16236-RA:cds	Tlei_v1.06794-RA:cds	MYN	0.0281204	0.0690874	0.407026	0.0619532	543	107.816	435.184	NA	19	7	12	NA	NA	0.0362547	2.224:2.59255:1:1:1:1	0.476103(0.474265:0.34375:0.610294)	NA	NA	NA	NA
OG0007945_NT	Tfasc_v1.14933-RA:cds	Tlei_v1.21665-RA:cds	MYN	0.0121513	0.0401278	0.302814	0.00293029	1062	232.157	829.843	NA	19	9	10	NA	NA	0.018267	1.4298:2.94182:1:1:1:1	0.387161(0.461722:0.324163:0.375598)	NA	NA	NA	NA
OG0015342_NT	Tfasc_v1.16708-RA:cds	Tlei_v1.07352-RA:cds	MYN	0.00246622	0.0266389	0.0925799	0.00125728	1083	270.13	812.87	NA	9	7	2	NA	NA	0.00849553	2:2:1:1:1:1	0.365256(0.398664:0.361915:0.335189)	NA	NA	NA	NA
OG0009803_NT	Tfasc_v1.03075-RA:cds	Tlei_v1.03874-RA:cds	MYN	0.0111506	0.00776563	1.4359	0.9531	1074	259.575	814.425	NA	11	2	9	NA	NA	0.0103325	2:2:1:1:1:1	0.422774(0.510638:0.362884:0.394799)	NA	NA	NA	NA
OG0013759_NT	Tfasc_v1.01756-RA:cds	Tlei_v1.27439-RA:cds	MYN	0.00665504	0.0195085	0.341136	0.0226485	1650	401.627	1248.37	NA	16	7.72913	8.27087	NA	NA	0.0097837	1.29592:1.84311:1:1:1:1	0.454889(0.508914:0.401135:0.454619)	NA	NA	NA	NA
OG0008502_NT	Tfasc_v1.04641-RA:cds	Tlei_v1.08465-RA:cds	MYN	0.0162564	0.0153979	1.05575	0.998247	1014	329.547	684.453	NA	16	5	11	NA	NA	0.0159774	11.6307:2.8132:1:1:1:1	0.457686(0.5:0.397668:0.475389)	NA	NA	NA	NA
OG0013526_NT	Tfasc_v1.04276-RA:cds	Tlei_v1.08591-RA:cds	MYN	0.0110006	0.0398289	0.276195	0.0366104	549	182.557	366.443	NA	11	7	4	NA	NA	0.0205867	8.10124:10.0858:1:1:1:1	0.470455(0.543182:0.368182:0.5)	NA	NA	NA	NA
OG0008226_NT	Tfasc_v1.09688-RA:cds	Tlei_v1.24312-RA:cds	MYN	0.01963	0.00785215	2.49996	0.579098	387	128.108	258.892	NA	6	1	5	NA	NA	0.0157312	8.45576:5.89916:1:1:1:1	0.496552(0.541379:0.431034:0.517241)	NA	NA	NA	NA
OG0018667_NT	Tfasc_v1.16370-RA:cds	Tlei_v1.06944-RA:cds	MYN	0.00988301	0.0408287	0.24206	0.00308522	990	277.024	712.976	NA	18	11	7	NA	NA	0.0185423	2.22034:1.83287:1:1:1:1	0.44187(0.502439:0.440244:0.382927)	NA	NA	NA	NA
OG0012542_NT	Tfasc_v1.07281-RA:cds	Tlei_v1.15124-RA:cds	MYN	0.0198168	0.0125762	1.57574	0.703193	624	165.097	458.903	NA	11	2.0522	8.9478	NA	NA	0.0179011	23.9509:8.65307:1:1:1:1	0.441983(0.439873:0.302215:0.583861)	NA	NA	NA	NA
OG0010009_NT	Tfasc_v1.26626-RA:cds	Tlei_v1.28268-RA:cds	MYN	0.0210438	0.0518798	0.405626	0.107403	486	100.254	385.746	NA	13	5	8	NA	NA	0.0274048	11.5927:1.48169:1:1:1:1	0.582474(0.590206:0.425258:0.731959)	NA	NA	NA	NA
OG0007318_NT	Tfasc_v1.22676-RA:cds	Tlei_v1.19633-RA:cds	MYN	0.091269	0.147976	0.616783	0.0160505	1344	314.459	1029.54	NA	130	41.577	88.423	NA	NA	0.104537	1.12057:1.07371:1:1:1:1	0.431804(0.49522:0.398662:0.40153)	NA	NA	NA	NA
OG0013425_NT	Tfasc_v1.30604-RA:cds	Tlei_v1.21195-RA:cds	MYN	0.00869709	0.0329652	0.263826	0.029568	765	186.573	578.427	NA	11	6	5	NA	NA	0.0146158	2:2:1:1:1:1	0.40452(0.411864:0.310169:0.491525)	NA	NA	NA	NA
OG0015081_NT	Tfasc_v1.22815-RA:cds	Tlei_v1.19492-RA:cds	MYN	0.0296553	0.0787667	0.376496	0.00513238	894	227.622	666.378	NA	36	16.6319	19.3681	NA	NA	0.0421596	1.49701:0.398078:1:1:1:1	0.385889(0.423326:0.333693:0.400648)	NA	NA	NA	NA
OG0009775_NT	Tfasc_v1.16294-RA:cds	Tlei_v1.06864-RA:cds	MYN	0.00325261	0.0120441	0.270059	0.08548	1260	335.013	924.987	NA	7	4	3	NA	NA	0.00559012	2:2:1:1:1:1	0.504944(0.559322:0.378178:0.577331)	NA	NA	NA	NA
OG0011738_NT	Tfasc_v1.18839-RA:cds	Tlei_v1.16738-RA:cds	MYN	0.00783628	0.00857527	0.913824	0.567565	750	236.15	513.85	NA	6	2	4	NA	NA	0.00806896	6.38452:2.40067:1:1:1:1	0.473287(0.515679:0.341463:0.562718)	NA	NA	NA	NA
OG0006136_NT	Tfasc_v1.06387-RA:cds	Tlei_v1.01670-RA:cds	MYN	0.087682	0.101311	0.865475	0.601095	648	133.638	514.362	NA	55	12.5542	42.4458	NA	NA	0.0904927	0.650479:2.12198:1:1:1:1	0.405325(0.420118:0.340237:0.455621)	NA	NA	NA	NA
OG0015443_NT	Tfasc_v1.25888-RA:cds	Tlei_v1.27540-RA:cds	MYN	0.0043276	0.00772951	0.559881	0.414496	957	261.379	695.621	NA	5	2	3	NA	NA	0.00525674	2:2:1:1:1:1	0.457995(0.54878:0.418699:0.406504)	NA	NA	NA	NA
OG0017974_NT	Tfasc_v1.04291-RA:cds	Tlei_v1.08578-RA:cds	MYN	0.00622942	0.014498	0.429676	0.25767	693	209.155	483.845	NA	6	3	3	NA	NA	0.00872495	4.83823:3.35133:1:1:1:1	0.441637(0.472924:0.415162:0.436823)	NA	NA	NA	NA
OG0019044_NT	Tfasc_v1.27823-RA:cds	Tlei_v1.30108-RA:cds	MYN	0.0105194	0.0192149	0.547461	0.186495	1500	403.406	1096.59	NA	19	7.54654	11.4535	NA	NA	0.0128579	3.23509:0.945041:1:1:1:1	0.414628(0.460033:0.420881:0.362969)	NA	NA	NA	NA
OG0007130_NT	Tfasc_v1.08866-RA:cds	Tlei_v1.13155-RA:cds	MYN	0.00609191	0.0179236	0.339881	0.0724653	1278	452.824	825.176	NA	13	8	5	NA	NA	0.0102842	11.6758:2.81826:1:1:1:1	0.464657(0.452183:0.426195:0.515593)	NA	NA	NA	NA
OG0009218_NT	Tfasc_v1.29395-RB:cds	Tlei_v1.30915-RA:cds	MYN	0.00732185	0.0262842	0.278564	0.0145536	1176	352.349	823.651	NA	15	9	6	NA	NA	0.0130033	3.31873:5.11813:1:1:1:1	0.491373(0.535197:0.439959:0.498965)	NA	NA	NA	NA
OG0012934_NT	Tfasc_v1.18396-RA:cds	Tlei_v1.16026-RA:cds	MYN	0.0289598	0.0692141	0.418409	0.00382161	1299	324.527	974.473	NA	49	21.3212	27.6788	NA	NA	0.0390164	1.23209:1.05209:1:1:1:1	0.415995(0.430444:0.426411:0.391129)	NA	NA	NA	NA
OG0010501_NT	Tfasc_v1.28688-RB:cds	Tlei_v1.28983-RA:cds	MYN	0.00411861	0.0116176	0.354515	0.190055	993	261.414	731.586	NA	6	3	3	NA	NA	0.00609278	2:2:1:1:1:1	0.448751(0.501292:0.368217:0.476744)	NA	NA	NA	NA
OG0010142_NT	Tfasc_v1.17514-RA:cds	Tlei_v1.26416-RA:cds	MYN	NA	0.00789436	-0	NA	588	129.855	458.145	NA	1	1	NA	NA	NA	0.0017434	2:2:1:1:1:1	0.508734(0.504367:0.39083:0.631004)	NA	NA	NA	NA
OG0009626_NT	Tfasc_v1.24937-RA:cds	Tlei_v1.28640-RB:cds	MYN	0.022956	0.0600232	0.382452	0.0925463	375	107.022	267.978	NA	12	6	6	NA	NA	0.0335347	3.68341:4.93814:1:1:1:1	0.474359(0.5:0.374126:0.548951)	NA	NA	NA	NA
OG0019567_NT	Tfasc_v1.20242-RA:cds	Tlei_v1.05423-RA:cds	MYN	0.00309032	0.0237411	0.130167	0.000644449	1191	214.199	976.801	NA	8	5	3	NA	NA	0.00680433	2:2:1:1:1:1	0.625452(0.629067:0.495662:0.751627)	NA	NA	NA	NA
OG0008524_NT	Tfasc_v1.04600-RA:cds	Tlei_v1.08433-RA:cds	MYN	0.00281122	0.0194849	0.144277	0.0037503	1434	364.328	1069.67	NA	10	7	3	NA	NA	0.0070474	0.770823:1.42524:1:1:1:1	0.48293(0.52514:0.461825:0.461825)	NA	NA	NA	NA
OG0008442_NT	Tfasc_v1.09269-RC:cds	Tlei_v1.23900-RA:cds	MYN	0.0150507	0.0352867	0.426527	0.0359099	1191	325.057	865.943	NA	24	11.1106	12.8894	NA	NA	0.0205737	9.72459:13.2233:1:1:1:1	0.414996(0.481069:0.388641:0.375278)	NA	NA	NA	NA
OG0018621_NT	Tfasc_v1.26449-RA:cds	Tlei_v1.28076-RA:cds	MYN	0.0367426	0.0473197	0.776475	0.532644	420	98.2028	321.797	NA	16	4.48819	11.5118	NA	NA	0.0392157	1.01257:3.65001:1:1:1:1	0.545181(0.557229:0.481928:0.596386)	NA	NA	NA	NA
OG0015865_NT	Tfasc_v1.17934-RA:cds	Tlei_v1.04452-RA:cds	MYN	0.00923406	0.00523585	1.76362	0.838453	738	192.876	545.124	NA	6	1	5	NA	NA	0.00818913	4.7227:5.48514:1:1:1:1	0.398086(0.449324:0.388514:0.356419)	NA	NA	NA	NA
OG0018364_NT	Tfasc_v1.00451-RA:cds	Tlei_v1.03168-RA:cds	MYN	0.0672319	0.129704	0.518348	0.083996	414	100.075	313.925	NA	32	11.8212	20.1788	NA	NA	0.0823332	2.47596:2.10293:1:1:1:1	0.478632(0.525641:0.314103:0.596154)	NA	NA	NA	NA
OG0014215_NT	Tfasc_v1.03776-RA:cds	Tlei_v1.09218-RA:cds	MYN	0.00533922	0.0151382	0.352699	0.0934194	1278	336.138	941.862	NA	10	5	5	NA	NA	0.00791654	2:2:1:1:1:1	0.407332(0.46945:0.356415:0.39613)	NA	NA	NA	NA
OG0014665_NT	Tfasc_v1.15466-RA:cds	Tlei_v1.22171-RA:cds	MYN	NA	0.0413091	-0	NA	591	75.1357	515.864	NA	3	3	NA	NA	NA	0.00525175	2:2:1:1:1:1	0.500737(0.455752:0.292035:0.754425)	NA	NA	NA	NA
OG0009568_NT	Tfasc_v1.25083-RA:cds	Tlei_v1.31407-RA:cds	MYN	0.0484472	0.0347229	1.39525	0.516208	624	174.646	449.354	NA	27	5.91988	21.0801	NA	NA	0.044606	2.16134:1.72857:1:1:1:1	0.430303(0.46:0.381818:0.449091)	NA	NA	NA	NA
OG0019155_NT	Tfasc_v1.19094-RA:cds	Tlei_v1.00483-RA:cds	MYN	0.0824227	0.135613	0.607779	0.105787	543	126.338	416.662	NA	48	15.5156	32.4844	NA	NA	0.0947983	0.58125:0.645886:1:1:1:1	0.416988(0.457529:0.339768:0.453668)	NA	NA	NA	NA
OG0012731_NT	Tfasc_v1.20738-RB:cds	Tlei_v1.18183-RA:cds	MYN	0.00768287	0.0316647	0.242632	0.0059088	1212	295.3	916.7	NA	16	9	7	NA	NA	0.013526	2.78959:5.01221:1:1:1:1	0.422711(0.469231:0.384615:0.414286)	NA	NA	NA	NA
OG0010771_NT	Tfasc_v1.11913-RA:cds	Tlei_v1.11237-RA:cds	MYN	0.014221	0.0288096	0.493619	0.0925705	1089	260.79	828.21	NA	19	7.33462	11.6654	NA	NA	0.0177146	1.1175:1.18312:1:1:1:1	0.435897(0.522145:0.355478:0.43007)	NA	NA	NA	NA
OG0009956_NT	Tfasc_v1.26516-RA:cds	Tlei_v1.28173-RA:cds	MYN	0.00979419	0.0269069	0.364003	0.0560862	987	267.507	719.493	NA	14	7	7	NA	NA	0.0144322	2.58811:1.67674:1:1:1:1	0.501797(0.539084:0.440701:0.525606)	NA	NA	NA	NA
OG0006950_NT	Tfasc_v1.27539-RA:cds	Tlei_v1.29863-RA:cds	MYN	0.0101125	0.0271611	0.372315	0.0496781	975	257.958	717.042	NA	14	6.80122	7.19878	NA	NA	0.0146231	2.4934:4.17394:1:1:1:1	0.429915(0.479487:0.367949:0.442308)	NA	NA	NA	NA
OG0014331_NT	Tfasc_v1.30364-RA:cds	Tlei_v1.20592-RA:cds	MYN	0.00594692	0.0128235	0.463751	0.189008	1008	300.046	707.954	NA	8	3.80694	4.19306	NA	NA	0.00799385	5.91385:2.86241:1:1:1:1	0.45656(0.549202:0.449468:0.371011)	NA	NA	NA	NA
OG0012168_NT	Tfasc_v1.15904-RA:cds	Tlei_v1.22754-RA:cds	MYN	0.078511	0.130202	0.602994	0.0257203	1137	277.256	859.744	NA	97	32.9525	64.0475	NA	NA	0.0911158	1.27348:1.97567:1:1:1:1	0.447146(0.472516:0.435518:0.433404)	NA	NA	NA	NA
OG0007110_NT	Tfasc_v1.08831-RA:cds	Tlei_v1.13189-RA:cds	MYN	0.00660354	0.0125861	0.524667	0.298712	1002	241.454	760.546	NA	8	3	5	NA	NA	0.00804518	2.06624:1.05983:1:1:1:1	0.423109(0.442643:0.371571:0.455112)	NA	NA	NA	NA
